Month short,Date week,Value SY,Value PY
Jan,1,,13824.00 €
Jan,2,422240.00 €,218512.00 €
Jan,3,135921.00 €,75969.00 €
Jan,4,517192.00 €,282210.00 €
Jan,5,305694.00 €,161366.00 €
Jan,6,,
Feb,6,172116.00 €,90406.00 €
Feb,7,365132.00 €,205266.00 €
Feb,8,515841.00 €,268009.00 €
Feb,9,473266.00 €,252494.00 €
Feb,10,230496.00 €,140594.00 €
Mar,10,161644.00 €,161644.00 €
Mar,11,367072.00 €,367072.00 €
Mar,12,479620.00 €,479620.00 €
Mar,13,452212.00 €,452212.00 €
Mar,14,251930.00 €,251930.00 €
Apr,14,31460.00 €,95300.00 €
Apr,15,583366.00 €,476442.00 €
Apr,16,173100.00 €,573074.00 €
Apr,17,829866.00 €,336304.00 €
Apr,18,574450.00 €,479824.00 €
May,19,1095952.00 €,1585440.00 €
May,20,711368.00 €,518838.00 €
May,21,2060294.00 €,1763336.00 €
May,22,1175054.00 €,1265992.00 €
May,23,90938.00 €,
Jun,23,95300.00 €,161644.00 €
Jun,24,433416.00 €,367072.00 €
Jun,25,479620.00 €,479620.00 €
Jun,26,336304.00 €,452212.00 €
Jun,27,367838.00 €,251930.00 €
Jul,27,248722.00 €,502666.00 €
Jul,28,4812174.00 €,2284222.00 €
Jul,29,1627125.00 €,2525585.00 €
Jul,30,6768118.00 €,1768966.00 €
Jul,31,3082578.00 €,1934258.00 €
Jul,32,,
Aug,32,1891876.00 €,2247244.00 €
Aug,33,4012412.00 €,1458740.00 €
Aug,34,5666161.00 €,4221693.00 €
Aug,35,5195466.00 €,2169114.00 €
Aug,36,2528742.00 €,421418.00 €
Sep,36,430518.00 €,430518.00 €
Sep,37,1957238.00 €,1957238.00 €
Sep,38,2165127.00 €,2165127.00 €
Sep,39,1517278.00 €,1517278.00 €
Sep,40,1659440.00 €,1659440.00 €
Oct,40,,142017.00 €
Oct,41,2386959.00 €,2244942.00 €
Oct,42,780532.00 €,780532.00 €
Oct,43,2653640.00 €,2899264.00 €
Oct,44,1903450.00 €,1657826.00 €
Oct,45,,
Nov,45,729934.00 €,729934.00 €
Nov,46,1657228.00 €,1657228.00 €
Nov,47,2163989.00 €,2163989.00 €
Nov,48,2038932.00 €,2038932.00 €
Nov,49,1135390.00 €,1135390.00 €
Dec,49,615000.00 €,335114.00 €
Dec,50,2759112.00 €,1522846.00 €
Dec,51,3238153.00 €,1683777.00 €
Dec,52,2359218.00 €,1179366.00 €
Dec,53,2055354.00 €,1289570.00 €
