Month short,Date week,Quantity SY,Quantity PY
Jan,1,,13824
Jan,2,221499,109256
Jan,3,77812,42898
Jan,4,258596,141105
Jan,5,191076,106117
Jan,6,,
Feb,6,99263,53999
Feb,7,182566,102633
Feb,8,270448,140256
Feb,9,285257,158611
Feb,10,115248,70297
Mar,10,96552,96552
Mar,11,183536,183536
Mar,12,251024,251024
Mar,13,284060,284060
Mar,14,125965,125965
Apr,14,31460,63380
Apr,15,291683,238221
Apr,16,97764,297751
Apr,17,414933,168152
Apr,18,371696,315518
May,19,595144,839888
May,20,355684,293012
May,21,1063740,881668
May,22,761233,806702
May,23,45469,
Jun,23,63380,96552
Jun,24,216708,183536
Jun,25,251024,251024
Jun,26,168152,284060
Jun,27,241873,125965
Jul,27,248722,334233
Jul,28,2406087,1142111
Jul,29,931346,1321672
Jul,30,3384059,884483
Jul,31,1998783,1272073
Jul,32,,
Aug,32,1091023,1220338
Aug,33,2006206,729370
Aug,34,2970488,2179538
Aug,35,3131457,1440321
Aug,36,1264371,210709
Sep,36,286273,286273
Sep,37,978619,978619
Sep,38,1133124,1133124
Sep,39,758639,758639
Sep,40,1091290,1091290
Oct,40,,142017
Oct,41,1264488,1122471
Oct,42,440753,440753
Oct,43,1326820,1449632
Oct,44,1213036,1090224
Oct,45,,
Nov,45,435984,435984
Nov,46,828614,828614
Nov,47,1132492,1132492
Nov,48,1280806,1280806
Nov,49,567695,567695
Dec,49,390413,222825
Dec,50,1379556,761423
Dec,51,1697612,881144
Dec,52,1179609,589683
Dec,53,1332711,848089
