Month short,Date week,Value SY,Value PY
Jan,1,,$19239.27552
Jan,2,434127.03381,$218520.37982
Jan,3,159888.34337999998,$89558.04767999999
Jan,4,620839.86276,$336268.35711
Jan,5,321419.32661999995,$169814.54189
Jan,6,,
Feb,6,172257.59533,$92196.37144999999
Feb,7,380109.83953999996,$210376.54533
Feb,8,615054.25374,$319637.84526
Feb,9,580344.00123,$312301.60377
Feb,10,206553.22799999997,$125989.79825
Mar,10,164854.72767999998,$164854.72768
Mar,11,376227.7427199999,$376227.7427199999
Mar,12,572019.49776,$572019.49776
Mar,13,559302.63852,$559302.63852
Mar,14,225760.77125,$225760.77125
Apr,14,43783.8258,$100992.4458
Apr,15,591667.88525,$487242.86339
Apr,16,204071.35715999999,$684202.1466300001
Apr,17,990464.2902899998,$397989.99768
Apr,18,598507.50616,$504923.70526
May,19,1183855.0789200002,$1622497.51292
May,20,704988.2954,$611661.2145600001
May,21,2462032.70424,$2116717.35108
May,22,1257865.62813,$1339357.44338
May,23,81491.81524999999,
Jun,23,100992.4458,$164854.72768
Jun,24,440090.02459999995,$376227.7427199999
Jun,25,572019.49776,$572019.49776
Jun,26,397989.99768,$559302.63852
Jun,27,387073.41209,$225760.77125
Jul,27,346153.86905999994,$532622.87825
Jul,28,4857002.67417,$2319271.65517
Jul,29,1913961.47232,$3012101.53782
Jul,30,8064647.74317,$2093567.04057
Jul,31,3215847.8379899994,$2035600.49249
Jul,32,,
Aug,32,1893326.55613,$2427385.50248
Aug,33,4176926.26154,$1445548.80746
Aug,34,6755899.4621399995,$5044847.55168
Aug,35,6371090.3976300005,$2363149.99239
Aug,36,2266068.92475,$377643.20525
Sep,36,456187.72968999995,$456187.7296899999
Sep,37,1987326.30153,$1987326.30153
Sep,38,2582225.01054,$2582225.01054
Sep,39,1795636.66125,$1795636.66125
Sep,40,1746336.4696999998,$1746336.4697
Oct,40,,$197649.31941
Oct,41,2442683.28672,$2245033.96731
Oct,42,920152.8448500001,$920152.8448500001
Oct,43,3185442.7241999996,$3454625.75016
Oct,44,2013816.42652,$1744633.40056
Oct,45,,
Nov,45,744395.15956,$744395.15956
Nov,46,1698504.18598,$1698504.18598
Nov,47,2580861.1741799996,$2580861.17418
Nov,48,2521872.72546,$2521872.72546
Nov,49,1017451.3637499998,$1017451.36375
Dec,49,633301.06973,$355086.22753
Dec,50,2835662.9246199992,$1546213.80477
Dec,51,3860929.5781799993,$2008132.02534
Dec,52,2792117.15883,$1395775.76265
Dec,53,2144206.8543899995,$1357132.87409
