Date,Customer,Veggie,Quantity
2021-01-02 00:00:00,Amamos las verduras,Potatoes,13824
2021-01-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,14037
2021-01-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,4843
2021-01-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,9727
2021-01-07 00:00:00,Wir lieben Gemüse,Broccoli,30994
2021-01-07 00:00:00,Wir lieben Gemüse,Peppers,13781
2021-01-08 00:00:00,Amamos las verduras,Cabbage,35874
2021-01-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,16248
2021-01-15 00:00:00,We love veggies,Broccoli,16823
2021-01-15 00:00:00,We love veggies,Potatoes,9827
2021-01-17 00:00:00,Amamos las verduras,Peppers,67322
2021-01-21 00:00:00,Amiamo le verdure,Peppers,29461
2021-01-21 00:00:00,Volimo povrce,Peppers,32369
2021-01-23 00:00:00,Amamos las verduras,Broccoli,11953
2021-01-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,50868
2021-01-28 00:00:00,Volimo povrce,Cabbage,40164
2021-01-29 00:00:00,Volimo povrce,Cabbage,15085
2021-02-02 00:00:00,Amamos las verduras,Potatoes,17592
2021-02-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,17865
2021-02-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,6163
2021-02-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,12379
2021-02-07 00:00:00,Wir lieben Gemüse,Broccoli,39442
2021-02-07 00:00:00,Wir lieben Gemüse,Peppers,17537
2021-02-08 00:00:00,Amamos las verduras,Cabbage,45654
2021-02-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,20676
2021-02-15 00:00:00,We love veggies,Broccoli,21407
2021-02-15 00:00:00,We love veggies,Potatoes,12503
2021-02-17 00:00:00,Amamos las verduras,Peppers,85670
2021-02-21 00:00:00,Amiamo le verdure,Peppers,37489
2021-02-21 00:00:00,Volimo povrce,Peppers,41189
