Date,Customer,Veggie,Value
2021-01-02 00:00:00,Amamos las verduras,Potatoes,19239.27552
2021-01-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,25157.81325
2021-01-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,10615.03269
2021-01-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,17433.21575
2021-01-07 00:00:00,Wir lieben Gemüse,Broccoli,67933.57902
2021-01-07 00:00:00,Wir lieben Gemüse,Peppers,33085.56261
2021-01-08 00:00:00,Amamos las verduras,Cabbage,64295.176499999994
2021-01-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,39008.36088
2021-01-15 00:00:00,We love veggies,Broccoli,36873.15609
2021-01-15 00:00:00,We love veggies,Potatoes,13676.530709999999
2021-01-17 00:00:00,Amamos las verduras,Peppers,161627.33081999997
2021-01-21 00:00:00,Amiamo le verdure,Peppers,70730.26341
2021-01-21 00:00:00,Volimo povrce,Peppers,77711.81889
2021-01-23 00:00:00,Amamos las verduras,Broccoli,26198.94399
2021-01-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,70794.52163999999
2021-01-28 00:00:00,Volimo povrce,Cabbage,71983.92899999999
2021-01-29 00:00:00,Volimo povrce,Cabbage,27036.091249999998
2021-02-02 00:00:00,Amamos las verduras,Potatoes,24483.314159999998
2021-02-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,32018.54625
2021-02-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,13508.24829
2021-02-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,22186.262749999998
2021-02-07 00:00:00,Wir lieben Gemüse,Broccoli,86450.15886
2021-02-07 00:00:00,Wir lieben Gemüse,Peppers,42103.004969999995
2021-02-08 00:00:00,Amamos las verduras,Cabbage,81823.38149999999
2021-02-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,49639.14756
2021-02-15 00:00:00,We love veggies,Broccoli,46920.50481
2021-02-15 00:00:00,We love veggies,Potatoes,17400.800189999998
2021-02-17 00:00:00,Amamos las verduras,Peppers,205677.3927
2021-02-21 00:00:00,Amiamo le verdure,Peppers,90003.96609
2021-02-21 00:00:00,Volimo povrce,Peppers,98886.96308999999
2021-02-23 00:00:00,Amamos las verduras,Broccoli,33326.77515
2021-02-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,90083.89944
2021-02-28 00:00:00,Volimo povrce,Cabbage,125989.79824999999
2021-03-02 00:00:00,Amamos las verduras,Potatoes,43783.8258
2021-03-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,57208.619999999995
2021-03-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,24189.03588
2021-03-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,39673.246
2021-03-07 00:00:00,Wir lieben Gemüse,Broccoli,154637.99016
2021-03-07 00:00:00,Wir lieben Gemüse,Peppers,75327.81456
2021-03-08 00:00:00,Amamos las verduras,Cabbage,146261.938
2021-03-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,88849.17648
2021-03-15 00:00:00,We love veggies,Broccoli,84008.46023999999
2021-03-15 00:00:00,We love veggies,Potatoes,31213.720439999997
2021-03-17 00:00:00,Amamos las verduras,Peppers,367948.1405999999
2021-03-21 00:00:00,Amiamo le verdure,Peppers,161094.351
2021-03-21 00:00:00,Volimo povrce,Peppers,176997.31644
2021-03-23 00:00:00,Amamos las verduras,Broccoli,59898.330239999996
2021-03-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,161312.64084
2021-03-28 00:00:00,Volimo povrce,Cabbage,198532.90924999997
2021-03-29 00:00:00,Volimo povrce,Cabbage,27227.861999999997
2021-04-02 00:00:00,Amamos las verduras,Potatoes,43783.8258
2021-04-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,57208.619999999995
2021-04-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,24189.03588
2021-04-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,39673.246
2021-04-07 00:00:00,Wir lieben Gemüse,Broccoli,201790.82895
2021-04-07 00:00:00,Wir lieben Gemüse,Peppers,75327.81456
2021-04-08 00:00:00,Amamos las verduras,Cabbage,146261.938
2021-04-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,88849.17648
2021-04-15 00:00:00,We love veggies,Broccoli,84008.46023999999
2021-04-15 00:00:00,We love veggies,Potatoes,31213.720439999997
2021-04-17 00:00:00,Amamos las verduras,Peppers,480130.78946999996
2021-04-21 00:00:00,Amiamo le verdure,Peppers,161094.351
2021-04-21 00:00:00,Volimo povrce,Peppers,176997.31644
2021-04-23 00:00:00,Amamos las verduras,Broccoli,59898.330239999996
2021-04-26 00:00:00,Mi mamo radi zelenjavo d.o.o.,Potatoes,210446.27675999998
2021-04-28 00:00:00,Volimo povrce,Cabbage,198532.90924999997
2021-04-29 00:00:00,Volimo povrce,Cabbage,95944.51924999998
2021-05-02 00:00:00,Amamos las verduras,Potatoes,131290.24128
2021-05-03 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,171593.5995
2021-05-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Broccoli,72501.35274
2021-05-05 00:00:00,Mi mamo radi zelenjavo d.o.o.,Cabbage,118965.9705
2021-05-07 00:00:00,Wir lieben Gemüse,Broccoli,463659.71820000006
2021-05-07 00:00:00,Wir lieben Gemüse,Peppers,225844.1967
2021-05-08 00:00:00,Amamos las verduras,Cabbage,438642.434
2021-05-14 00:00:00,Mi mamo radi zelenjavo d.o.o.,Peppers,266345.8614
2021-05-15 00:00:00,We love veggies,Broccoli,251810.58137999996
2021-05-15 00:00:00,We love veggies,Potatoes,93504.77177999998
2021-05-17 00:00:00,Amamos las verduras,Peppers,1103201.0047199999
2021-05-21 00:00:00,Amiamo le verdure,Peppers,482922.93150000006
2021-05-21 00:00:00,Volimo povrce,Peppers,530593.4148599999
